Date,Inflow,Outflow
2019-12-22,20434,7788
2019-12-23,21359,8660
2019-12-24,22594,9417
2019-12-25,23708,11583
2019-12-26,23527,11124
2019-12-27,22600,9980
2019-12-28,21793,8951
2019-12-29,21168,9513
2019-12-30,20648,9046
2019-12-31,20224,8415
2020-01-01,19586,12106
2020-01-02,18956,12219
2020-01-03,18537,10717
2020-01-04,17910,10076
2020-01-05,17594,9796
2020-01-06,17318,9505
2020-01-07,17074,9264
2020-01-08,17275,9429
2020-01-09,17838,11985
2020-01-10,18037,12273
2020-01-11,17875,12182
2020-01-12,17849,12217
2020-01-13,17636,11996
2020-01-14,17522,10377
2020-01-15,17423,10175
2020-01-16,17180,12801
2020-01-17,17765,13475
2020-01-18,18181,13933
2020-01-19,19754,14900
2020-01-20,19648,14599
2020-01-21,18918,11447
2020-01-22,18368,11579
2020-01-23,17954,11172
2020-01-24,18747,11901
2020-01-25,19905,13052
2020-01-26,20358,14427
2020-01-27,21937,15697
2020-01-28,25324,19107
2020-01-29,27516,21279
2020-01-30,26338,19976
2020-01-31,24271,16785
2020-02-01,22329,14889
2020-02-02,20982,13558
2020-02-03,20379,12959
2020-02-04,19891,12460
2020-02-05,19976,12693
2020-02-06,20110,12653
2020-02-07,19385,11355
2020-02-08,18574,10916
2020-02-09,17763,11278
2020-02-10,16543,10045
2020-02-11,15836,10982
2020-02-12,15548,11599
2020-02-13,15109,11209
2020-02-14,15088,11723
2020-02-15,15155,11781
2020-02-16,15086,11506
2020-02-17,14753,11369
2020-02-18,13995,10693
2020-02-19,13640,11047
2020-02-20,13435,11536
2020-02-21,13666,11905
2020-02-22,13848,11429
2020-02-23,14577,12139
2020-02-24,15140,12414
2020-02-25,15139,11523
2020-02-26,15239,11541
2020-02-27,15192,11473
2020-02-28,14936,11212
2020-02-29,14886,11387
2020-03-01,15382,11985
2020-03-02,15347,11734
2020-03-03,15170,11222
2020-03-04,15371,11947
2020-03-05,15229,11473
2020-03-06,15148,11692
2020-03-07,15305,11542
2020-03-08,15262,9572
2020-03-09,14862,9144
2020-03-10,14092,8569
2020-03-11,13487,8011
2020-03-12,13029,7181
2020-03-13,12709,7007
2020-03-14,13070,8531
2020-03-15,15059,12556
2020-03-16,18410,19000
2020-03-17,17188,17390
2020-03-18,16427,16333
2020-03-19,16326,15617
2020-03-20,16905,13449
2020-03-21,16961,9869
2020-03-22,15992,9279
2020-03-23,15100,8464
2020-03-24,14726,7743
2020-03-25,14552,7317
2020-03-26,14469,7677
2020-03-27,14297,7099
2020-03-28,14262,7147
2020-03-29,14062,7361
2020-03-30,13988,6874
2020-03-31,14142,7305
2020-04-01,14664,9742
2020-04-02,14733,9563
2020-04-03,14354,8381
2020-04-04,14349,9220
2020-04-05,17216,16179
2020-04-06,22799,21745
2020-04-07,23960,22910
2020-04-08,23032,21872
2020-04-09,20804,18676
2020-04-10,19122,14938
2020-04-11,17804,13624
2020-04-12,16961,12781
2020-04-13,16456,12417
2020-04-14,15994,12054
2020-04-15,15279,11308
2020-04-16,14088,10039
2020-04-17,13192,9448
2020-04-18,13402,9838
2020-04-19,13773,10016
2020-04-20,13677,9308
2020-04-21,12962,8183
2020-04-22,12265,7923
2020-04-23,11888,7924
2020-04-24,11705,7865
2020-04-25,11621,7772
2020-04-26,11692,7739
2020-04-27,12190,8136
2020-04-28,11846,7673
2020-04-29,11706,7120
2020-04-30,11532,7114
2020-05-01,11165,7160
2020-05-02,10849,7067
2020-05-03,11357,7617
2020-05-04,11575,7389
2020-05-05,10969,6406
2020-05-06,11049,6905
2020-05-07,10605,6742
2020-05-08,10320,6518
2020-05-09,10246,6351
2020-05-10,10424,6532
2020-05-11,11089,7040
2020-05-12,11643,7609
2020-05-13,12754,8760
2020-05-14,13534,9503
